freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.018e+01,1.004e+03,9.179e+01,1.106e+03
1.6,2.863e+01,5.689e+02,7.104e+01,6.686e+02
3.2,3.014e+01,3.308e+01,2.299e+01,8.621e+01
4.7,3.068e+01,4.121e+02,2.173e+01,4.645e+02
6.3,3.278e+01,1.407e+03,2.212e+01,1.462e+03
7.9,3.216e+01,2.443e+03,2.517e+01,2.500e+03
9.5,3.357e+01,3.944e+03,2.613e+01,4.004e+03
11.1,3.480e+01,4.416e+03,3.519e+01,4.486e+03
12.6,4.366e+01,4.631e+03,4.205e+01,4.716e+03
14.2,6.107e+01,6.715e+03,4.444e+01,6.820e+03
15.8,5.925e+01,8.845e+03,3.962e+01,8.944e+03
17.4,4.702e+01,1.176e+04,4.194e+01,1.185e+04
19.0,4.469e+01,1.509e+04,5.791e+01,1.519e+04
20.5,4.078e+01,1.914e+04,7.341e+01,1.925e+04
22.1,5.797e+01,2.512e+04,6.966e+01,2.525e+04
23.7,9.288e+01,3.312e+04,1.427e+02,3.335e+04
25.3,1.442e+02,4.278e+04,1.751e+02,4.310e+04
26.8,1.462e+02,5.239e+04,1.436e+02,5.268e+04
28.4,7.442e+01,6.527e+04,1.231e+02,6.547e+04
30.0,7.230e+01,9.097e+04,2.371e+02,9.128e+04
31.6,1.209e+02,1.382e+05,6.051e+02,1.389e+05
33.2,1.912e+02,2.167e+05,1.719e+03,2.186e+05
34.7,2.961e+02,3.583e+05,4.634e+03,3.632e+05
36.3,2.044e+02,7.263e+05,1.357e+04,7.401e+05
37.9,4.357e+02,1.989e+06,5.746e+04,2.047e+06
39.5,6.362e+02,4.129e+06,1.746e+05,4.304e+06
41.1,6.839e+02,3.850e+06,2.158e+05,4.066e+06
42.6,5.883e+02,2.563e+06,1.529e+05,2.716e+06
44.2,4.539e+02,1.685e+06,1.128e+05,1.798e+06
45.8,4.064e+02,1.080e+06,9.157e+04,1.172e+06
47.4,5.030e+02,7.837e+05,9.894e+04,8.832e+05
49.0,7.882e+02,6.535e+05,1.267e+05,7.809e+05
50.5,1.043e+03,5.315e+05,1.500e+05,6.826e+05
52.1,9.616e+02,3.757e+05,1.501e+05,5.268e+05
53.7,8.341e+02,2.281e+05,1.306e+05,3.596e+05
55.3,1.234e+03,1.622e+05,1.059e+05,2.693e+05
56.9,2.417e+03,1.709e+05,9.686e+04,2.701e+05
58.4,3.665e+03,1.348e+05,1.098e+05,2.483e+05
60.0,1.346e+04,1.052e+05,9.948e+04,2.181e+05
61.6,3.003e+04,1.013e+05,8.488e+04,2.162e+05
63.2,3.400e+04,9.512e+04,7.505e+04,2.042e+05
64.8,2.417e+04,8.454e+04,6.467e+04,1.734e+05
66.3,1.152e+04,7.041e+04,6.050e+04,1.424e+05
67.9,3.892e+03,5.732e+04,6.308e+04,1.243e+05
69.5,1.389e+03,5.328e+04,6.883e+04,1.235e+05
71.1,1.354e+03,4.731e+04,7.952e+04,1.282e+05
72.6,1.009e+03,3.475e+04,7.454e+04,1.103e+05
74.2,6.589e+02,2.695e+04,5.598e+04,8.358e+04
75.8,6.049e+02,2.537e+04,4.101e+04,6.699e+04
77.4,6.468e+02,2.643e+04,3.571e+04,6.279e+04
79.0,7.799e+02,2.749e+04,3.337e+04,6.164e+04
80.5,9.251e+02,2.802e+04,2.927e+04,5.821e+04
82.1,1.160e+03,3.128e+04,2.373e+04,5.616e+04
83.7,1.539e+03,3.698e+04,2.026e+04,5.878e+04
85.3,1.980e+03,3.665e+04,1.835e+04,5.698e+04
86.9,1.925e+03,3.433e+04,1.905e+04,5.531e+04
88.4,3.089e+03,3.758e+04,2.156e+04,6.222e+04
90.0,5.864e+03,3.983e+04,1.852e+04,6.422e+04
91.6,9.557e+03,3.548e+04,1.215e+04,5.718e+04
93.2,1.135e+04,2.801e+04,8.236e+03,4.759e+04
94.8,1.122e+04,1.930e+04,5.219e+03,3.574e+04
96.3,8.955e+03,1.159e+04,3.217e+03,2.376e+04
97.9,8.429e+03,6.767e+03,2.257e+03,1.745e+04
99.5,8.575e+03,5.230e+03,1.873e+03,1.568e+04
101.1,8.466e+03,4.993e+03,1.579e+03,1.504e+04
102.7,7.330e+03,4.692e+03,1.137e+03,1.316e+04
104.2,7.138e+03,4.210e+03,9.461e+02,1.229e+04
105.8,6.579e+03,4.732e+03,1.922e+03,1.323e+04
107.4,6.896e+03,7.817e+03,4.202e+03,1.892e+04
109.0,9.128e+03,1.186e+04,6.049e+03,2.704e+04
110.6,8.718e+03,1.229e+04,5.971e+03,2.697e+04
112.1,6.717e+03,1.176e+04,5.134e+03,2.361e+04
113.7,6.353e+03,1.321e+04,5.228e+03,2.479e+04
115.3,5.797e+03,1.181e+04,4.796e+03,2.240e+04
116.9,5.759e+03,1.024e+04,3.891e+03,1.989e+04
118.4,5.200e+03,9.472e+03,3.329e+03,1.800e+04
120.0,4.627e+03,8.297e+03,2.972e+03,1.590e+04
121.6,3.847e+03,6.544e+03,2.234e+03,1.263e+04
123.2,3.951e+03,6.001e+03,1.902e+03,1.185e+04
124.8,4.264e+03,5.825e+03,1.770e+03,1.186e+04
126.3,4.100e+03,5.948e+03,1.680e+03,1.173e+04
127.9,3.797e+03,6.234e+03,1.661e+03,1.169e+04
129.5,3.364e+03,6.403e+03,1.662e+03,1.143e+04
131.1,2.887e+03,6.439e+03,1.705e+03,1.103e+04
132.7,1.934e+03,5.088e+03,1.177e+03,8.199e+03
134.2,7.346e+02,2.582e+03,2.016e+02,3.518e+03
135.8,5.655e+02,2.122e+03,4.533e+01,2.732e+03
137.4,6.522e+02,2.054e+03,4.330e+01,2.750e+03
139.0,7.389e+02,2.062e+03,4.006e+01,2.841e+03
140.6,6.831e+02,2.121e+03,3.516e+01,2.840e+03
142.1,5.772e+02,2.373e+03,3.702e+01,2.987e+03
143.7,7.285e+02,2.798e+03,3.855e+01,3.565e+03
145.3,8.766e+02,3.040e+03,3.958e+01,3.956e+03
146.9,8.548e+02,3.176e+03,4.425e+01,4.075e+03
148.5,8.145e+02,3.255e+03,6.492e+01,4.135e+03
150.0,8.123e+02,3.122e+03,8.573e+01,4.020e+03
151.6,8.628e+02,3.051e+03,1.215e+02,4.036e+03
153.2,9.008e+02,2.947e+03,1.554e+02,4.003e+03
154.8,9.296e+02,2.994e+03,1.799e+02,4.104e+03
156.3,9.508e+02,2.837e+03,2.151e+02,4.003e+03
157.9,8.897e+02,2.558e+03,2.576e+02,3.705e+03
159.5,8.231e+02,2.683e+03,2.762e+02,3.782e+03
161.1,8.572e+02,2.570e+03,2.865e+02,3.713e+03
162.7,9.337e+02,1.824e+03,2.870e+02,3.045e+03
164.2,1.009e+03,1.203e+03,2.767e+02,2.489e+03
165.8,1.073e+03,9.363e+02,2.873e+02,2.297e+03
167.4,1.022e+03,1.052e+03,3.311e+02,2.405e+03
169.0,9.107e+02,8.288e+02,3.276e+02,2.067e+03
170.6,8.513e+02,5.953e+02,3.385e+02,1.785e+03
172.1,8.512e+02,8.335e+02,2.921e+02,1.977e+03
173.7,8.298e+02,8.378e+02,2.373e+02,1.905e+03
175.3,8.188e+02,8.840e+02,2.004e+02,1.903e+03
176.9,8.557e+02,1.301e+03,1.687e+02,2.325e+03
178.5,9.852e+02,1.907e+03,1.500e+02,3.043e+03
180.0,9.853e+02,2.096e+03,1.500e+02,3.231e+03
181.6,8.499e+02,2.056e+03,1.348e+02,3.041e+03
183.2,6.491e+02,1.936e+03,1.314e+02,2.717e+03
184.8,5.210e+02,1.657e+03,1.343e+02,2.313e+03
186.4,4.461e+02,1.354e+03,1.500e+02,1.950e+03
187.9,3.807e+02,1.128e+03,1.926e+02,1.701e+03
189.5,4.273e+02,1.095e+03,2.722e+02,1.795e+03
191.1,4.761e+02,1.316e+03,3.219e+02,2.114e+03
192.7,4.787e+02,1.634e+03,3.853e+02,2.498e+03
194.3,5.156e+02,1.900e+03,4.907e+02,2.907e+03
195.8,4.821e+02,1.969e+03,6.131e+02,3.064e+03
197.4,4.045e+02,1.383e+03,5.430e+02,2.331e+03
199.0,3.955e+02,1.103e+03,3.370e+02,1.835e+03
