freq,psd_x,psd_y,psd_z,psd_xyz
146.0,5.125e+03,5.185e+02,7.998e+01,5.723e+03
147.6,5.444e+03,7.012e+02,8.388e+01,6.229e+03
149.1,6.458e+03,7.534e+02,1.205e+02,7.332e+03
150.7,7.053e+03,6.582e+02,1.678e+02,7.879e+03
152.2,7.111e+03,7.049e+02,2.057e+02,8.022e+03
153.8,7.159e+03,1.116e+03,2.388e+02,8.514e+03
155.3,6.782e+03,1.687e+03,3.151e+02,8.785e+03
156.9,5.605e+03,1.439e+03,3.643e+02,7.408e+03
158.4,4.182e+03,9.543e+02,3.155e+02,5.452e+03
160.0,2.990e+03,7.337e+02,2.205e+02,3.944e+03
161.5,1.886e+03,5.211e+02,1.421e+02,2.550e+03
163.1,9.975e+02,4.791e+02,8.267e+01,1.559e+03
164.6,5.011e+02,4.923e+02,6.577e+01,1.059e+03
166.2,4.018e+02,4.683e+02,6.124e+01,9.313e+02
167.7,5.586e+02,4.650e+02,6.964e+01,1.093e+03
169.3,1.012e+03,5.695e+02,8.422e+01,1.666e+03
170.9,1.714e+03,6.204e+02,1.412e+02,2.476e+03
172.4,2.711e+03,6.907e+02,2.766e+02,3.679e+03
174.0,3.392e+03,6.785e+02,3.696e+02,4.440e+03
175.5,3.658e+03,5.686e+02,4.179e+02,4.645e+03
177.1,3.729e+03,4.558e+02,4.276e+02,4.613e+03
178.6,3.888e+03,3.863e+02,4.286e+02,4.703e+03
180.2,4.123e+03,3.682e+02,4.118e+02,4.903e+03
181.7,4.205e+03,3.871e+02,4.457e+02,5.038e+03
183.3,3.969e+03,4.624e+02,6.523e+02,5.084e+03
184.8,3.793e+03,4.906e+02,7.380e+02,5.022e+03
186.4,3.536e+03,4.961e+02,7.274e+02,4.759e+03
187.9,3.280e+03,4.958e+02,7.296e+02,4.505e+03
189.5,3.065e+03,5.292e+02,7.144e+02,4.308e+03
191.0,2.887e+03,5.210e+02,7.022e+02,4.111e+03
192.6,2.770e+03,4.708e+02,6.783e+02,3.919e+03
194.2,2.926e+03,4.789e+02,6.766e+02,4.081e+03
195.7,2.632e+03,4.915e+02,6.077e+02,3.731e+03
197.3,1.975e+03,3.895e+02,4.955e+02,2.860e+03
198.8,1.902e+03,5.979e+02,5.058e+02,3.006e+03
