freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.884e+00,8.573e+02,5.408e+01,9.193e+02
1.6,2.895e+01,4.950e+02,5.729e+01,5.812e+02
3.2,3.259e+01,3.314e+01,2.954e+01,9.526e+01
4.8,3.093e+01,4.292e+02,3.291e+01,4.930e+02
6.3,3.091e+01,1.411e+03,3.436e+01,1.476e+03
7.9,3.237e+01,2.494e+03,2.808e+01,2.555e+03
9.5,8.481e+01,3.789e+03,3.300e+01,3.907e+03
11.1,1.355e+02,4.780e+03,4.421e+01,4.960e+03
12.7,7.205e+01,5.518e+03,5.434e+01,5.644e+03
14.3,4.163e+01,7.151e+03,4.408e+01,7.237e+03
15.9,3.540e+01,9.584e+03,4.583e+01,9.665e+03
17.5,3.715e+01,1.323e+04,7.788e+01,1.335e+04
19.0,3.601e+01,1.767e+04,1.114e+02,1.782e+04
20.6,4.261e+01,2.307e+04,9.644e+01,2.321e+04
22.2,5.007e+01,3.042e+04,1.235e+02,3.059e+04
23.8,4.730e+01,4.014e+04,2.119e+02,4.040e+04
25.4,6.546e+01,5.423e+04,1.681e+02,5.446e+04
27.0,1.461e+02,6.945e+04,1.205e+02,6.972e+04
28.6,2.322e+02,8.702e+04,1.096e+02,8.736e+04
30.1,2.358e+02,1.211e+05,2.147e+02,1.216e+05
31.7,2.030e+02,1.842e+05,5.288e+02,1.849e+05
33.3,2.133e+02,3.043e+05,1.330e+03,3.058e+05
34.9,2.278e+02,5.522e+05,3.547e+03,5.560e+05
36.5,2.055e+02,1.276e+06,1.359e+04,1.290e+06
38.1,1.508e+02,2.688e+06,4.471e+04,2.733e+06
39.7,2.052e+02,2.876e+06,6.470e+04,2.941e+06
41.2,3.176e+02,1.987e+06,5.696e+04,2.044e+06
42.8,4.568e+02,1.389e+06,3.960e+04,1.429e+06
44.4,6.621e+02,9.858e+05,3.193e+04,1.018e+06
46.0,7.357e+02,7.185e+05,3.093e+04,7.502e+05
47.6,6.727e+02,5.505e+05,3.163e+04,5.828e+05
49.2,6.709e+02,4.532e+05,3.971e+04,4.936e+05
50.8,8.795e+02,4.054e+05,5.580e+04,4.621e+05
52.4,1.391e+03,3.737e+05,7.563e+04,4.507e+05
53.9,2.334e+03,3.384e+05,1.029e+05,4.437e+05
55.5,3.187e+03,2.773e+05,1.031e+05,3.836e+05
57.1,3.252e+03,2.404e+05,8.398e+04,3.276e+05
58.7,4.511e+03,2.016e+05,9.543e+04,3.015e+05
60.3,5.025e+03,1.460e+05,9.939e+04,2.504e+05
61.9,7.244e+03,1.283e+05,9.821e+04,2.338e+05
63.5,8.976e+03,1.255e+05,9.214e+04,2.266e+05
65.0,7.320e+03,1.179e+05,7.895e+04,2.041e+05
66.6,4.687e+03,1.120e+05,8.989e+04,2.066e+05
68.2,2.633e+03,9.567e+04,1.086e+05,2.069e+05
69.8,2.896e+03,6.931e+04,1.146e+05,1.868e+05
71.4,3.025e+03,4.324e+04,1.207e+05,1.669e+05
