freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.696e+02,1.230e+01,2.579e+01,8.077e+02
1.6,4.530e+02,2.307e+01,6.392e+01,5.400e+02
3.2,4.615e+01,2.092e+01,6.506e+01,1.321e+02
4.7,4.021e+02,2.223e+01,6.598e+01,4.903e+02
6.3,1.307e+03,2.118e+01,6.079e+01,1.389e+03
7.9,1.979e+03,2.141e+01,6.329e+01,2.063e+03
9.5,2.679e+03,2.053e+01,6.308e+01,2.762e+03
11.1,3.712e+03,1.964e+01,6.101e+01,3.793e+03
12.6,4.998e+03,2.023e+01,5.020e+01,5.069e+03
14.2,6.350e+03,2.374e+01,7.238e+01,6.446e+03
15.8,7.639e+03,2.703e+01,7.301e+01,7.739e+03
17.4,9.717e+03,2.456e+01,7.733e+01,9.819e+03
19.0,1.250e+04,2.085e+01,6.248e+01,1.258e+04
20.5,1.542e+04,2.236e+01,7.131e+01,1.552e+04
22.1,1.750e+04,2.670e+01,1.048e+02,1.763e+04
23.7,1.961e+04,3.005e+01,1.163e+02,1.976e+04
25.3,2.368e+04,3.578e+01,1.072e+02,2.382e+04
26.9,2.893e+04,4.035e+01,1.175e+02,2.909e+04
28.4,3.384e+04,2.985e+01,1.247e+02,3.400e+04
30.0,3.846e+04,3.067e+01,1.256e+02,3.862e+04
31.6,4.553e+04,3.948e+01,1.183e+02,4.569e+04
33.2,5.411e+04,5.408e+01,1.364e+02,5.430e+04
34.8,6.300e+04,9.562e+01,1.669e+02,6.326e+04
36.3,7.621e+04,9.291e+01,1.559e+02,7.646e+04
37.9,9.516e+04,7.510e+01,1.553e+02,9.539e+04
39.5,1.174e+05,2.075e+02,2.917e+02,1.179e+05
41.1,1.365e+05,2.773e+02,3.551e+02,1.371e+05
42.7,1.632e+05,3.132e+02,3.819e+02,1.639e+05
44.2,2.174e+05,3.736e+02,4.388e+02,2.182e+05
45.8,2.965e+05,4.083e+02,5.783e+02,2.975e+05
47.4,4.261e+05,3.758e+02,7.623e+02,4.272e+05
49.0,6.621e+05,6.136e+02,1.200e+03,6.639e+05
50.6,1.096e+06,1.519e+03,2.468e+03,1.100e+06
52.1,2.096e+06,6.477e+03,1.061e+04,2.113e+06
53.7,3.696e+06,1.648e+04,2.854e+04,3.741e+06
55.3,4.126e+06,4.825e+04,5.941e+04,4.234e+06
56.9,3.323e+06,4.259e+04,7.232e+04,3.438e+06
58.5,2.372e+06,1.571e+04,5.068e+04,2.438e+06
60.0,1.626e+06,8.893e+03,2.687e+04,1.662e+06
61.6,1.182e+06,8.827e+03,1.125e+04,1.202e+06
63.2,8.489e+05,7.684e+03,5.956e+03,8.625e+05
64.8,5.824e+05,7.000e+03,3.692e+03,5.931e+05
66.4,4.089e+05,5.936e+03,1.860e+03,4.167e+05
67.9,2.844e+05,3.062e+03,9.733e+02,2.885e+05
69.5,1.829e+05,1.560e+03,3.978e+02,1.848e+05
71.1,1.151e+05,1.413e+03,1.539e+02,1.166e+05
72.7,6.799e+04,8.819e+02,1.462e+02,6.902e+04
74.3,4.007e+04,3.706e+02,1.878e+02,4.063e+04
75.8,3.223e+04,1.960e+02,2.328e+02,3.266e+04
77.4,3.061e+04,2.191e+02,2.461e+02,3.107e+04
79.0,4.923e+04,3.173e+02,2.864e+02,4.983e+04
80.6,7.764e+04,4.400e+02,5.295e+02,7.861e+04
82.2,1.574e+05,8.194e+02,1.038e+03,1.592e+05
83.7,3.116e+05,1.333e+03,1.007e+03,3.140e+05
85.3,4.262e+05,3.474e+03,2.130e+03,4.318e+05
86.9,5.182e+05,7.889e+03,5.688e+03,5.317e+05
88.5,5.550e+05,1.476e+04,1.105e+04,5.808e+05
90.1,5.446e+05,2.243e+04,1.511e+04,5.822e+05
91.6,5.033e+05,2.619e+04,1.628e+04,5.458e+05
93.2,4.583e+05,3.021e+04,1.767e+04,5.061e+05
94.8,4.245e+05,3.100e+04,1.789e+04,4.734e+05
96.4,3.649e+05,2.596e+04,1.463e+04,4.055e+05
98.0,3.200e+05,2.142e+04,1.257e+04,3.539e+05
99.5,2.963e+05,1.826e+04,1.116e+04,3.257e+05
101.1,2.682e+05,1.547e+04,8.560e+03,2.922e+05
102.7,2.625e+05,1.322e+04,5.733e+03,2.815e+05
104.3,2.584e+05,1.031e+04,3.537e+03,2.722e+05
105.9,2.438e+05,1.005e+04,2.396e+03,2.562e+05
107.4,2.160e+05,1.038e+04,2.194e+03,2.285e+05
109.0,1.832e+05,1.031e+04,2.484e+03,1.960e+05
110.6,1.541e+05,1.142e+04,2.090e+03,1.676e+05
112.2,1.468e+05,1.160e+04,2.443e+03,1.608e+05
113.8,1.803e+05,9.954e+03,3.865e+03,1.941e+05
115.3,2.112e+05,9.292e+03,4.657e+03,2.252e+05
116.9,2.180e+05,9.083e+03,4.699e+03,2.318e+05
118.5,2.226e+05,8.851e+03,3.742e+03,2.352e+05
120.1,2.098e+05,7.512e+03,2.657e+03,2.200e+05
121.6,1.525e+05,4.998e+03,1.691e+03,1.592e+05
123.2,1.305e+05,4.083e+03,1.391e+03,1.360e+05
124.8,1.225e+05,3.629e+03,1.337e+03,1.274e+05
126.4,1.113e+05,3.166e+03,1.165e+03,1.156e+05
128.0,9.593e+04,2.857e+03,1.082e+03,9.987e+04
129.5,8.472e+04,2.784e+03,1.002e+03,8.850e+04
131.1,8.001e+04,2.829e+03,6.832e+02,8.352e+04
132.7,5.265e+04,2.165e+03,4.158e+02,5.523e+04
134.3,9.809e+03,5.968e+02,2.149e+02,1.062e+04
135.9,3.395e+03,3.408e+02,2.038e+02,3.940e+03
137.4,3.489e+03,3.676e+02,2.157e+02,4.072e+03
139.0,3.483e+03,3.765e+02,1.848e+02,4.044e+03
140.6,3.289e+03,3.398e+02,2.137e+02,3.842e+03
142.2,2.914e+03,3.000e+02,1.889e+02,3.403e+03
143.8,2.732e+03,3.487e+02,1.695e+02,3.251e+03
145.3,2.684e+03,4.661e+02,1.795e+02,3.330e+03
146.9,2.597e+03,6.719e+02,1.701e+02,3.439e+03
148.5,2.500e+03,8.557e+02,1.980e+02,3.553e+03
150.1,2.646e+03,1.128e+03,1.888e+02,3.963e+03
151.7,2.968e+03,1.410e+03,1.818e+02,4.560e+03
153.2,3.627e+03,1.817e+03,2.302e+02,5.674e+03
154.8,4.413e+03,2.369e+03,3.923e+02,7.174e+03
156.4,4.947e+03,2.820e+03,6.342e+02,8.401e+03
158.0,5.121e+03,2.827e+03,8.744e+02,8.823e+03
159.6,7.411e+03,2.478e+03,1.579e+03,1.147e+04
161.1,8.534e+03,2.119e+03,1.736e+03,1.239e+04
162.7,5.759e+03,1.497e+03,9.262e+02,8.183e+03
164.3,4.587e+03,1.483e+03,4.795e+02,6.549e+03
165.9,5.114e+03,1.746e+03,4.637e+02,7.324e+03
167.5,6.042e+03,1.860e+03,6.240e+02,8.526e+03
169.0,6.455e+03,1.866e+03,9.262e+02,9.247e+03
170.6,6.758e+03,1.848e+03,1.431e+03,1.004e+04
172.2,7.630e+03,2.131e+03,1.753e+03,1.151e+04
173.8,7.624e+03,2.017e+03,1.976e+03,1.162e+04
175.4,7.597e+03,2.492e+03,1.935e+03,1.202e+04
176.9,7.674e+03,3.711e+03,1.981e+03,1.337e+04
178.5,7.375e+03,4.643e+03,1.863e+03,1.388e+04
180.1,5.939e+03,4.107e+03,1.339e+03,1.138e+04
181.7,4.054e+03,2.793e+03,1.129e+03,7.976e+03
183.3,3.487e+03,2.286e+03,1.233e+03,7.006e+03
184.8,3.389e+03,1.880e+03,1.114e+03,6.383e+03
186.4,3.245e+03,1.668e+03,1.186e+03,6.100e+03
188.0,3.306e+03,1.521e+03,1.293e+03,6.120e+03
189.6,3.190e+03,1.461e+03,1.308e+03,5.959e+03
191.2,3.368e+03,1.753e+03,1.428e+03,6.550e+03
192.7,3.739e+03,2.043e+03,1.455e+03,7.237e+03
194.3,3.981e+03,2.264e+03,1.600e+03,7.844e+03
195.9,4.109e+03,2.407e+03,1.663e+03,8.179e+03
197.5,3.881e+03,2.247e+03,1.538e+03,7.666e+03
199.1,3.918e+03,2.113e+03,1.503e+03,7.534e+03
