freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.572e+02,1.605e+01,3.618e+01,8.094e+02
1.6,4.378e+02,2.368e+01,8.620e+01,5.477e+02
3.2,4.721e+01,1.890e+01,9.217e+01,1.583e+02
4.8,4.023e+02,2.050e+01,1.168e+02,5.396e+02
6.3,1.274e+03,2.038e+01,8.886e+01,1.384e+03
7.9,2.197e+03,1.989e+01,7.698e+01,2.294e+03
9.5,3.134e+03,3.143e+01,8.759e+01,3.253e+03
11.1,3.746e+03,4.535e+01,9.233e+01,3.884e+03
12.7,4.774e+03,2.971e+01,1.008e+02,4.904e+03
14.3,6.237e+03,2.035e+01,8.729e+01,6.345e+03
15.9,8.203e+03,2.196e+01,8.479e+01,8.310e+03
17.5,1.064e+04,2.542e+01,9.219e+01,1.076e+04
19.0,1.330e+04,2.738e+01,8.242e+01,1.341e+04
20.6,1.634e+04,3.179e+01,9.354e+01,1.647e+04
22.2,1.949e+04,3.014e+01,1.122e+02,1.964e+04
23.8,2.222e+04,2.748e+01,1.282e+02,2.238e+04
25.4,2.710e+04,2.877e+01,1.226e+02,2.725e+04
27.0,3.320e+04,5.414e+01,1.097e+02,3.337e+04
28.6,4.049e+04,9.817e+01,1.131e+02,4.070e+04
30.2,4.831e+04,1.170e+02,9.908e+01,4.852e+04
31.7,5.545e+04,1.120e+02,9.460e+01,5.566e+04
33.3,6.526e+04,1.476e+02,1.009e+02,6.551e+04
34.9,7.970e+04,2.442e+02,8.793e+01,8.003e+04
36.5,9.824e+04,3.992e+02,9.312e+01,9.874e+04
38.1,1.224e+05,6.387e+02,1.021e+02,1.231e+05
39.7,1.555e+05,1.022e+03,1.050e+02,1.566e+05
41.3,2.022e+05,1.608e+03,9.101e+01,2.039e+05
42.9,2.681e+05,2.465e+03,1.245e+02,2.707e+05
44.4,3.637e+05,4.015e+03,2.793e+02,3.680e+05
46.0,5.009e+05,6.115e+03,4.898e+02,5.076e+05
47.6,7.378e+05,7.880e+03,7.539e+02,7.465e+05
49.2,1.255e+06,1.047e+04,1.542e+03,1.267e+06
50.8,2.413e+06,1.672e+04,7.352e+03,2.437e+06
52.4,3.601e+06,2.390e+04,2.038e+04,3.645e+06
54.0,3.567e+06,3.063e+04,2.536e+04,3.623e+06
55.5,2.774e+06,3.292e+04,2.350e+04,2.830e+06
57.1,1.889e+06,3.079e+04,3.339e+04,1.953e+06
58.7,1.293e+06,2.252e+04,4.388e+04,1.359e+06
60.3,9.590e+05,1.344e+04,3.248e+04,1.005e+06
61.9,7.110e+05,7.547e+03,1.926e+04,7.378e+05
63.5,5.100e+05,4.859e+03,1.702e+04,5.319e+05
65.1,3.547e+05,3.839e+03,1.799e+04,3.765e+05
66.7,2.514e+05,3.187e+03,1.834e+04,2.729e+05
68.2,1.814e+05,2.232e+03,1.664e+04,2.002e+05
