freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.322e+02,1.032e+01,3.252e+01,7.750e+02
1.6,4.262e+02,1.883e+01,4.141e+01,4.864e+02
3.2,4.043e+01,1.659e+01,4.134e+01,9.837e+01
4.8,3.876e+02,1.896e+01,4.037e+01,4.470e+02
6.3,1.266e+03,1.856e+01,3.957e+01,1.324e+03
7.9,2.023e+03,1.661e+01,4.071e+01,2.080e+03
9.5,2.645e+03,1.695e+01,3.762e+01,2.699e+03
11.1,3.606e+03,1.738e+01,3.893e+01,3.662e+03
12.7,4.842e+03,1.748e+01,5.302e+01,4.913e+03
14.3,6.305e+03,1.745e+01,4.903e+01,6.371e+03
15.9,7.839e+03,1.907e+01,5.212e+01,7.910e+03
17.4,9.817e+03,2.081e+01,4.564e+01,9.883e+03
19.0,1.266e+04,1.997e+01,4.036e+01,1.272e+04
20.6,1.526e+04,2.116e+01,4.288e+01,1.532e+04
22.2,1.668e+04,2.785e+01,6.580e+01,1.677e+04
23.8,1.944e+04,3.143e+01,8.274e+01,1.955e+04
25.4,2.362e+04,3.964e+01,8.342e+01,2.374e+04
26.9,2.823e+04,4.665e+01,7.383e+01,2.835e+04
28.5,3.358e+04,3.650e+01,6.958e+01,3.368e+04
30.1,3.827e+04,3.041e+01,6.576e+01,3.837e+04
31.7,4.447e+04,2.977e+01,6.939e+01,4.457e+04
33.3,5.316e+04,3.493e+01,8.242e+01,5.328e+04
34.9,6.343e+04,4.656e+01,9.058e+01,6.357e+04
36.5,7.590e+04,7.554e+01,1.211e+02,7.609e+04
38.0,9.374e+04,1.606e+02,1.771e+02,9.408e+04
39.6,1.123e+05,3.400e+02,2.223e+02,1.129e+05
41.2,1.362e+05,2.137e+02,1.377e+02,1.366e+05
42.8,1.720e+05,2.139e+02,2.404e+02,1.724e+05
44.4,2.143e+05,3.511e+02,2.218e+02,2.149e+05
46.0,2.863e+05,4.898e+02,1.532e+02,2.869e+05
47.6,4.099e+05,1.110e+03,5.047e+02,4.115e+05
49.1,6.061e+05,3.102e+03,2.337e+03,6.115e+05
50.7,1.015e+06,3.379e+03,6.753e+03,1.025e+06
52.3,2.190e+06,8.865e+03,5.458e+04,2.253e+06
53.9,3.790e+06,2.134e+04,1.666e+05,3.978e+06
55.5,3.946e+06,3.278e+04,2.020e+05,4.181e+06
57.1,2.963e+06,2.716e+04,2.107e+05,3.201e+06
58.7,2.063e+06,8.449e+03,1.513e+05,2.223e+06
60.2,1.435e+06,1.759e+03,9.634e+04,1.533e+06
61.8,1.053e+06,1.396e+03,7.734e+04,1.132e+06
63.4,7.625e+05,4.984e+02,4.968e+04,8.126e+05
65.0,5.198e+05,4.707e+02,2.669e+04,5.470e+05
66.6,3.531e+05,7.630e+02,1.083e+04,3.647e+05
68.2,2.236e+05,4.120e+02,5.234e+03,2.293e+05
69.7,1.484e+05,1.481e+02,4.599e+03,1.532e+05
71.3,9.756e+04,8.072e+01,3.704e+03,1.013e+05
72.9,6.295e+04,8.273e+01,2.748e+03,6.578e+04
74.5,4.248e+04,1.177e+02,2.010e+03,4.461e+04
76.1,2.984e+04,7.229e+01,1.603e+03,3.151e+04
77.7,2.878e+04,6.234e+01,1.414e+03,3.026e+04
79.3,4.159e+04,1.607e+02,7.754e+02,4.252e+04
80.8,6.796e+04,4.924e+02,3.772e+02,6.883e+04
82.4,1.354e+05,9.077e+02,2.316e+02,1.365e+05
84.0,2.126e+05,8.307e+02,2.933e+02,2.137e+05
85.6,2.861e+05,2.378e+03,9.939e+02,2.895e+05
87.2,4.153e+05,1.114e+04,3.928e+03,4.304e+05
88.8,5.131e+05,1.901e+04,9.264e+03,5.413e+05
90.4,5.710e+05,1.416e+04,1.191e+04,5.970e+05
91.9,5.323e+05,1.203e+04,9.132e+03,5.534e+05
93.5,4.958e+05,2.339e+04,9.512e+03,5.287e+05
95.1,4.510e+05,2.916e+04,1.086e+04,4.910e+05
96.7,3.691e+05,2.830e+04,1.165e+04,4.090e+05
98.3,3.455e+05,3.075e+04,1.338e+04,3.896e+05
99.9,3.077e+05,2.844e+04,1.243e+04,3.486e+05
101.5,2.624e+05,2.425e+04,1.025e+04,2.969e+05
