freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.026e+01,9.075e+02,1.119e+02,1.040e+03
1.6,3.596e+01,5.165e+02,7.881e+01,6.312e+02
3.1,3.434e+01,3.087e+01,2.245e+01,8.765e+01
4.7,3.427e+01,3.696e+02,2.324e+01,4.271e+02
6.2,3.299e+01,1.312e+03,2.377e+01,1.368e+03
7.8,3.455e+01,2.284e+03,2.213e+01,2.341e+03
9.3,3.503e+01,3.668e+03,2.107e+01,3.724e+03
10.9,3.572e+01,4.325e+03,3.040e+01,4.391e+03
12.4,3.943e+01,4.608e+03,3.831e+01,4.685e+03
14.0,4.493e+01,6.583e+03,3.879e+01,6.667e+03
15.5,4.382e+01,8.775e+03,3.312e+01,8.852e+03
17.1,4.084e+01,1.133e+04,3.389e+01,1.141e+04
18.6,4.558e+01,1.498e+04,6.184e+01,1.509e+04
20.2,6.420e+01,1.855e+04,9.547e+01,1.871e+04
21.7,7.611e+01,2.305e+04,9.646e+01,2.322e+04
23.3,9.239e+01,2.994e+04,1.450e+02,3.017e+04
24.8,1.596e+02,3.931e+04,1.581e+02,3.963e+04
26.4,1.856e+02,4.806e+04,1.415e+02,4.839e+04
27.9,9.723e+01,5.869e+04,1.121e+02,5.890e+04
29.5,9.553e+01,8.183e+04,1.808e+02,8.210e+04
31.0,1.790e+02,1.199e+05,4.019e+02,1.205e+05
32.6,2.417e+02,1.846e+05,9.907e+02,1.858e+05
34.1,3.343e+02,3.209e+05,3.321e+03,3.245e+05
35.7,3.639e+02,5.610e+05,7.905e+03,5.693e+05
37.2,3.722e+02,1.429e+06,2.906e+04,1.459e+06
38.8,6.141e+02,3.422e+06,1.133e+05,3.536e+06
40.3,1.076e+03,3.647e+06,1.698e+05,3.818e+06
41.9,1.352e+03,2.578e+06,1.307e+05,2.710e+06
43.4,1.188e+03,1.679e+06,8.978e+04,1.770e+06
45.0,1.203e+03,1.045e+06,7.508e+04,1.121e+06
46.5,1.512e+03,7.394e+05,7.623e+04,8.172e+05
48.1,2.021e+03,6.353e+05,1.077e+05,7.450e+05
49.6,2.636e+03,5.786e+05,1.588e+05,7.401e+05
51.2,3.181e+03,5.112e+05,2.305e+05,7.449e+05
52.8,4.646e+03,4.209e+05,3.178e+05,7.433e+05
54.3,1.043e+04,2.984e+05,3.142e+05,6.231e+05
55.9,1.689e+04,2.556e+05,2.212e+05,4.937e+05
57.4,2.666e+04,2.408e+05,2.444e+05,5.119e+05
59.0,5.707e+04,1.701e+05,2.388e+05,4.660e+05
60.5,1.016e+05,1.287e+05,1.677e+05,3.980e+05
62.1,1.309e+05,1.176e+05,1.199e+05,3.684e+05
63.6,1.150e+05,1.150e+05,1.097e+05,3.398e+05
65.2,8.164e+04,1.031e+05,1.191e+05,3.039e+05
66.7,5.882e+04,7.742e+04,1.205e+05,2.567e+05
68.3,4.249e+04,5.272e+04,1.117e+05,2.069e+05
69.8,2.552e+04,3.714e+04,1.001e+05,1.628e+05
71.4,1.480e+04,3.246e+04,7.755e+04,1.248e+05
72.9,9.674e+03,3.495e+04,5.382e+04,9.845e+04
74.5,8.023e+03,3.505e+04,4.024e+04,8.331e+04
76.0,8.604e+03,3.250e+04,3.357e+04,7.468e+04
77.6,5.833e+03,2.838e+04,3.308e+04,6.730e+04
79.1,1.912e+03,2.646e+04,3.392e+04,6.229e+04
80.7,6.369e+02,2.850e+04,3.104e+04,6.018e+04
82.2,7.155e+02,3.273e+04,2.507e+04,5.851e+04
83.8,8.711e+02,4.007e+04,2.101e+04,6.195e+04
85.3,1.393e+03,5.231e+04,1.881e+04,7.251e+04
86.9,2.555e+03,6.363e+04,1.509e+04,8.127e+04
88.4,3.117e+03,6.594e+04,1.060e+04,7.966e+04
90.0,4.038e+03,6.837e+04,7.974e+03,8.038e+04
91.5,4.112e+03,5.243e+04,5.183e+03,6.173e+04
93.1,3.207e+03,2.905e+04,2.913e+03,3.517e+04
94.6,3.062e+03,1.208e+04,2.570e+03,1.771e+04
96.2,3.784e+03,6.200e+03,2.525e+03,1.251e+04
97.7,6.104e+03,3.906e+03,2.084e+03,1.209e+04
99.3,8.811e+03,1.898e+03,2.178e+03,1.289e+04
